n,k,M,p,r,Tp,Tc,f,cl,cm,cu,cv
131072,4,34232510,6,8333,2418395854,5213616619,1,131072,131072,131072,0
131072,4,5055746,5,1261,280448685,956055200,78775,1,1.66388,121,5.72413
131072,4,7750886,7,4341,318096429,1527878989,65987,1,1.98633,1380,81.7856
131072,4,7776358,7,4961,318000672,1527163461,65851,1,1.99043,2754,152.219
131072,8,11143666,8,27001,181660587,1314015398,52839,1,2.48059,41298,32281
131072,8,31303150,7,22065,910344071,2696130299,7,1,18724.6,131066,2.10343e+09
131072,8,31309818,6,18153,1107260104,2601194983,1,131072,131072,131072,0
131072,8,34432542,6,16665,1299467730,2780714615,1,131072,131072,131072,0
131072,8,5086042,5,2521,155128443,516544678,78775,1,1.66388,121,5.72413
131072,8,7855118,7,8681,166539011,853448223,65987,1,1.98633,1380,81.7856
131072,8,7895470,7,9921,166456870,856442175,65851,1,1.99043,2754,152.219
16384,16,1205966,6,10865,510268363,223510619,8361,1,1.95957,473,64.212
16384,16,1424732,7,14225,510577872,281655617,8278,1,1.97922,1166,176.893
16384,16,1569744,6,15681,512290258,319360707,6562,1,2.4968,5315,4307.09
16384,16,3289298,5,14801,533134915,398671552,3,1,5461.33,16382,5.96305e+07
16384,16,3787838,5,20001,547843879,525376216,3,1,5461.33,16382,5.96305e+07
16384,16,4110282,5,20033,545911154,532066261,1,16384,16384,16384,0
16384,16,800608,5,5345,519531013,132212180,9872,1,1.65964,151,8.05981
16384,16,963594,5,6081,529580358,164532405,8227,1,1.99149,317,43.7507
16384,32,1313856,5,10689,1616362052,342097680,9872,1,1.65964,151,8.05981
16384,32,1547498,5,12161,1655241806,408124010,8227,1,1.99149,317,43.7507
16384,32,2249166,6,21729,1670060189,629023432,8361,1,1.95957,473,64.212
16384,32,2790524,7,28449,1673172440,793661664,8278,1,1.97922,1166,176.893
16384,32,3075280,6,31361,1626044374,872346843,6562,1,2.4968,5315,4307.09
16384,32,4710322,5,29601,1230832982,895647684,3,1,5461.33,16382,5.96305e+07
16384,32,5708062,5,40001,1683684012,1421560971,3,1,5461.33,16382,5.96305e+07
16384,32,6033578,5,40065,1682304295,1407825254,1,16384,16384,16384,0
32768,16,1424310,5,4721,520199011,162126038,19565,1,1.67483,165,7.00962
32768,16,2164826,6,12593,527721640,360988628,16259,1,2.01538,892,109.817
32768,16,2308688,6,17617,524537476,376935604,16446,1,1.99246,1830,226.058
32768,16,2385806,7,13937,519653841,339280862,16445,1,1.99258,1048,98.8713
32768,16,3373716,7,30625,499917452,652649223,13264,1,2.47045,10212,7865.66
32768,16,7441052,6,27313,596731464,822500251,8,1,4096,32761,1.17383e+08
32768,16,8224144,6,29105,791715790,1184701324,2,1,16384,32767,2.68403e+08
32768,16,8715180,6,23217,659477770,795881933,2,1,16384,32767,2.68403e+08
32768,32,10063260,6,54625,1702001838,2102230021,8,1,4096,32761,1.17383e+08
32768,32,10944172,6,46433,1718288803,1940098596,2,1,16384,32767,2.68403e+08
32768,32,11018384,6,58209,1689210762,2265513022,2,1,16384,32767,2.68403e+08
32768,32,1877654,5,9441,1636407154,354999174,19565,1,1.67483,165,7.00962
32768,32,3373914,6,25185,1695581757,749397266,16259,1,2.01538,892,109.817
32768,32,3723950,7,27873,1669329406,854408438,16445,1,1.99258,1048,98.8713
32768,32,4000080,6,35233,1670771930,972540073,16446,1,1.99246,1830,226.058
32768,32,6313908,7,61249,1630078045,1701109928,13264,1,2.47045,10212,7865.66
65536,16,14575532,6,32497,706271597,1245010014,8,1,8192,65529,4.69647e+08
65536,16,15752800,5,23841,823264613,1136674677,2,1,32768,65535,1.07368e+09
65536,16,16138122,6,33953,798786279,1352929235,1,65536,65536,65536,0
65536,16,2717660,5,5169,518281893,230169040,38990,1,1.68084,100,5.9678
65536,16,3869410,6,11153,535657477,384478890,32513,1,2.01569,632,54.832
65536,16,4541746,7,20561,553267062,566131372,32871,1,1.99373,2644,237.949
65536,16,4583256,7,21729,515210018,580769397,32820,1,1.99683,1316,109.828
65536,16,6689078,8,42897,550329789,1036910366,26675,1,2.45683,19837,14756.9
65536,32,10807414,8,85793,1726065595,2539726323,26675,1,2.45683,19837,14756.9
65536,32,17695404,6,64993,1763271633,2841129210,8,1,8192,65529,4.69647e+08
65536,32,18041664,5,47681,1820330574,2406631394,2,1,32768,65535,1.07368e+09
65536,32,19397770,6,67905,1781981418,3087200144,1,65536,65536,65536,0
65536,32,3214012,5,10337,1719034933,446531701,38990,1,1.68084,100,5.9678
65536,32,4940258,6,22305,1647350254,819672312,32513,1,2.01569,632,54.832
65536,32,6515794,7,41121,1405506279,1141369174,32871,1,1.99373,2644,237.949
